,product_id,buyereval,buyerfeedback,buyerid,help_prob
0,32243608596,100,"great fabric and quality, fast delivery and comfort to wear  highly recommended !",230419691,0.017052907795159337
4,32243608596,100,thanks!,890393619,0.005720932147632781
5,32243608596,60,not bad for such price,1693179945,0.005429929254293453
7,32243608596,100,"nice cap, my boyfriend is very happy with it  good fit and fast delivery  seller sent us a message with the track and trace code when it was sent ",1673192723,0.016183770700025683
11,32243608596,20,all stained  terrible goods,725446934,0.005492018591399574
13,32243608596,100,well made  seems to be a one size fits all of most  it will adjust from small to very large  they also included a free gift bracelet  i was very impressed by the packaging  it was sealed in an inflated plastic  ,1697140394,0.011459742280342307
15,32243608596,100,nice cap in good quality  oryginally was too big   but i moved the ' leather like' strap at the back   now is great   ),873791448,0.00940991867828778
16,32243608596,100,"love the hat, nice design, affordable price, good seller, will love to try out other products!  thank you ",870521201,0.015530252399649268
18,32243608596,20,they sent me the wrong hat  i want to get the hat i ordered but they have not responded  ,1620213964,0.011223356311803117
21,32243608596,80,a little lighter in colour compared to photos in description ,753293540,0.0077403599812794505
24,32243608596,100,"pretty fast shipment,one week to japan!
good cap as photo!excellent seller!thanks!",714878106,0.016337308186982334
30,32243608596,100,"amazing product, perfect fit  fast shipping  will buy more ",1641720054,0.014719262711802877
35,32243608596,100,1 month to italy i like it very much it s the second one i m buying ,746111242,0.005790669954203192
40,32243608596,100,"order came to india within a month, would definitely recommend this seller and the quality of the cap is too good worth the money",835061490,0.017235892193146224
44,32243608596,100,the hat is beautiful  quality material  a solid pakette has been sent  i liked it very much  i would recommend,738278900,0.012136749537724294
56,32243608596,100,"ver y good packed, little r ps con the top of the cap",176268579,0.00732734804283075
60,32243608596,100,nice product thank you very much,706709745,0.007818859080059401
62,32243608596,100,"it took 20 days to deliver here, nice quality cap,well cushioned on inner side ,fitting is also good
overall this cap is good",1691429336,0.00986338082923519
72,32243608596,100,"great fabric and quality, fast delivery and comfort to wear  highly recommended !",230419691,
73,32243608596,100,very cute  excelent package!!!!,,0.0064451085364469664
81,32243608596,100,"received in good time  good communication from seller  item as described  will recommend to all my friends  thank you seller 
tried the cap and it fits perfectly",902018062,0.03408310907934485
95,32243608596,40,the central part of the cap on the picture is white but when arrived it was a light orange,903431039,0.00711790390541237
103,product_id,buyerEval,buyerfeedback,buyerId,0.004688378383610843
114,32243608596,100,thank you very much seller you're the best good stuff fast delivery i recommended ,746063472,0.011761736329519585
118,32243608596,100,this hat is very good jeans  thank you so much for the product! ,724272166,0.00887404211880054
127,32243608596,100,its a good looking hat but its a little bit too big,929763871,0.006306514918822958
137,32243608596,100,"product decription was 100  correct  product was as decribed  best thing i liked was the packing  is just that the style did not suit me very well, but it's my problem  ",111476789,0.010766809619213896
142,32243608596,100,fast delivery  good quality  beautiful colors  recomended,1636459246,0.01027871553401448
164,32268022924,100,product shipped very fast and in excellent conditions!,757557480,0.007566638215551509
165,32268022924,100,it came sooner than i expected  it was well packed and its quality seems very good ,757560112,0.007237805566848691
168,32268022924,100,super summer great part can  top quality thanks,766319037,0.008432179979231453
171,32268022924,100,very nice item  great value,915267448,0.010491546094070303
173,32268022924,60,color is not the same ,117846178,0.004431349035446125
195,32268022924,60,"fast shiping, i like the cap, but its have torn place  (",1701623558,0.006000832444214677
209,32241038992,100,lovely slacks  i don't want to open them right up because they are a gift  the material is so soft and the colours nice and bright  i'm very happy and my grand daughters will be too  i highly recommend seller and will be doing more shopping in this store  thank you very much ,713000842,0.0312581269951445
213,32241038992,100,good quality thank you somuch ,1715799334,0.00739824087478406
215,32241038992,100,very cute! size as expected  ,136745062,0.007827018395859291
226,32241038992,80,fast delivery but not cotton,1730695338,0.005678472636559277
231,32241038992,100,"super happy with the product     same as in picture  very soft, comfortable n printing is bright  highly recommended",766885116,0.01892973165803978
236,32241038992,100,lovely slacks  i don't want to open them right up because they are a gift  the material is so soft and the colours nice and bright  i'm very happy and my grand daughters will be too  i highly recommend seller and will be doing more shopping in this store  thank you very much ,713000842,
266,32241038992,100,recommend this seller  good quality and fast deliver  ,894359735,0.01089677078324657
288,32249599106,100,i am very happy with my purchase  the item is very nice and the seller is terrific  thank you ,710425005,0.014764591261779977
294,1101450963,100,beautiful! great quality! thank you!,191826394,0.011022948144796164
296,1101450963,100,beautiful  fits perfectly ,,0.007674590961390448
306,1101450963,100,great quality! thank you!,191826394,0.008308387792718726
316,1988072399,100,thank you  i got my item ,194901594,0.0071378286175704875
330,32287525713,100,"well done! super fast shipment with all in good order  
 
thank you very much ",1645368756,0.007841155065154287
353,1409844412,100,works just fine,,0.007610165031753775
355,1409844412,100,"very fast shipping i receiced my order in 17 days  product is very good,very simple   i recomend it very much ",858517212,0.013519651075076924
359,1409844412,100,"thank you! good seller, good product ",191519970,0.009630580952027233
371,1409844412,100,"it is simple and works great  temperature, time and speed in 1 screen  the screen is very clear ",,0.009774912545712127
376,2006545274,100,good for the money  i use a mixture of toothpaste and baking soda,195667322,0.007896343880615775
377,2006545274,80,"used several times and no difference,  seems cheaply made ",189037505,0.006416362764571071
381,2006545274,100,great ! thank you ,136032072,0.006832676110303539
